frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
206,6.005,35.300,28.3,17066,73739,0,17027,12921,16648,307,43,30.00,16.50,18.00,144.1,spin_360
207,6.041,35.068,28.5,17059,73709,0,17020,12917,16645,303,43,30.00,16.50,18.00,145.0,spin_360
208,6.076,28.146,35.5,17055,73682,0,17016,12912,16641,303,43,30.00,16.50,18.00,145.8,spin_360
209,6.104,33.108,30.2,17060,73707,0,17021,12917,16646,303,43,30.00,16.50,18.00,146.5,spin_360
210,6.137,34.674,28.8,17047,73639,0,17008,12904,16633,303,43,30.00,16.50,18.00,147.3,spin_360
211,6.172,30.582,32.7,17083,73803,0,17044,12939,16669,303,43,30.00,16.50,18.00,148.1,spin_360
212,6.202,27.280,36.7,17089,73827,0,17050,12945,16675,303,43,30.00,16.50,18.00,148.9,spin_360
213,6.230,27.506,36.4,17115,73946,0,17076,12969,16701,303,43,30.00,16.50,18.00,149.5,spin_360
214,6.257,35.621,28.1,17127,74014,0,17088,12984,16717,299,43,30.00,16.50,18.00,150.2,spin_360
215,6.293,36.273,27.6,17128,74012,0,17089,12984,16718,299,43,30.00,16.50,18.00,151.0,spin_360
216,6.329,35.332,28.3,17163,74173,0,17124,13013,16749,303,43,30.00,16.50,18.00,151.9,spin_360
217,6.364,26.679,37.5,17202,74353,0,17163,13047,16788,303,43,30.00,16.50,18.00,152.7,spin_360
218,6.391,26.885,37.2,17233,74501,0,17194,13075,16819,303,43,30.00,16.50,18.00,153.4,spin_360
219,6.418,25.572,39.1,17251,74592,0,17212,13091,16837,303,43,30.00,16.50,18.00,154.0,spin_360
220,6.444,26.871,37.2,17275,74716,0,17236,13113,16861,303,43,30.00,16.50,18.00,154.6,spin_360
221,6.470,32.959,30.3,17329,74984,0,17290,13163,16915,303,43,30.00,16.50,18.00,155.3,spin_360
222,6.503,27.459,36.4,17367,75161,0,17328,13196,16949,307,43,30.00,16.50,18.00,156.1,spin_360
223,6.531,27.448,36.4,17391,75268,0,17352,13219,16973,307,43,30.00,16.50,18.00,156.7,spin_360
224,6.558,27.319,36.6,17417,75390,0,17378,13243,16999,307,43,30.00,16.50,18.00,157.4,spin_360
225,6.586,27.489,36.4,17460,75597,0,17421,13282,17042,307,43,30.00,16.50,18.00,158.1,spin_360
226,6.613,32.365,30.9,17476,75670,0,17437,13297,17058,307,43,30.00,16.50,18.00,158.7,spin_360
227,6.645,32.963,30.3,17482,75704,0,17443,13301,17064,307,43,30.00,16.50,18.00,159.5,spin_360
228,6.678,41.821,23.9,17493,75754,0,17454,13310,17075,307,43,30.00,16.50,18.00,160.3,spin_360
229,6.720,35.058,28.5,17503,75775,0,17464,13314,17081,311,43,30.00,16.50,18.00,161.3,spin_360
230,6.755,27.829,35.9,17506,75792,0,17467,13316,17084,311,43,30.00,16.50,18.00,162.1,spin_360
231,6.783,27.872,35.9,17513,75819,0,17474,13319,17091,311,43,30.00,16.50,18.00,162.8,spin_360
232,6.811,28.486,35.1,17524,75866,0,17485,13328,17102,311,43,30.00,16.50,18.00,163.5,spin_360
233,6.840,31.185,32.1,17544,75956,0,17505,13347,17122,311,43,30.00,16.50,18.00,164.1,spin_360
234,6.871,30.092,33.2,17549,75974,0,17510,13351,17127,311,43,30.00,16.50,18.00,164.9,spin_360
235,6.901,41.247,24.2,17571,76070,0,17532,13371,17149,311,43,30.00,16.50,18.00,165.6,spin_360
236,6.942,28.153,35.5,17597,76215,0,17558,13405,17183,303,43,30.00,16.50,18.00,166.6,spin_360
237,6.970,28.998,34.5,17622,76328,0,17583,13426,17204,307,43,30.00,16.50,18.00,167.3,spin_360
238,6.999,29.134,34.3,17645,76434,0,17606,13449,17227,307,43,30.00,16.50,18.00,168.0,spin_360
239,7.028,36.773,27.2,17669,76548,0,17630,13473,17251,307,43,30.00,16.50,18.00,168.7,spin_360
