frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
194,3.257,17.940,55.7,17881,77821,0,17842,13596,0,0,43,30.00,16.50,18.00,78.2,boot
195,3.275,16.371,61.1,17889,77862,0,17850,13605,0,0,43,30.00,16.50,18.00,78.6,boot
196,3.291,16.190,61.8,17894,77892,0,17855,13612,0,0,43,30.00,16.50,18.00,79.0,boot
197,3.308,16.384,61.0,17906,77958,0,17867,13624,0,0,43,30.00,16.50,18.00,79.4,boot
198,3.324,16.785,59.6,17913,77993,0,17874,13631,0,0,43,30.00,16.50,18.00,79.8,boot
199,3.341,16.633,60.1,17926,78061,0,17887,13644,0,0,43,30.00,16.50,18.00,80.2,boot
200,3.357,20.508,48.8,17933,78100,0,17894,13652,0,0,43,30.00,16.50,18.00,80.6,boot
201,3.378,13.235,75.6,17937,78121,0,17898,13657,0,0,43,30.00,16.50,18.00,81.1,boot
202,3.391,16.575,60.3,17949,78187,0,17910,13669,0,0,43,30.00,16.50,18.00,81.4,boot
203,3.408,17.670,56.6,17960,78249,0,17921,13681,0,0,43,30.00,16.50,18.00,81.8,boot
204,3.425,20.060,49.9,17965,78275,0,17926,13687,0,0,43,30.00,16.50,18.00,82.2,boot
205,3.445,12.443,80.4,17971,78307,0,17932,13695,0,0,43,30.00,16.50,18.00,82.7,boot
206,3.458,16.256,61.5,17975,78330,0,17936,13699,0,0,43,30.00,16.50,18.00,83.0,boot
207,3.474,16.957,59.0,17990,78410,0,17951,13716,0,0,43,30.00,16.50,18.00,83.4,boot
208,3.491,18.570,53.9,17981,78366,0,17942,13708,0,0,43,30.00,16.50,18.00,83.8,boot
209,3.510,14.682,68.1,17995,78438,0,17956,13724,0,0,43,30.00,16.50,18.00,84.2,boot
210,3.524,16.553,60.4,18007,78501,0,17968,13736,0,0,43,30.00,16.50,18.00,84.6,boot
211,3.541,18.903,52.9,18005,78513,0,17966,13741,0,0,43,30.00,16.50,18.00,85.0,boot
212,3.560,22.977,43.5,18011,78535,0,17972,13748,0,0,43,30.00,16.50,18.00,85.4,boot
213,3.583,17.591,56.8,18021,78587,0,17982,13760,0,0,43,30.00,16.50,18.00,86.0,boot
214,3.600,9.814,101.9,18028,78608,0,17989,13762,0,0,43,30.00,16.50,18.00,86.4,boot
215,3.610,15.358,65.1,18033,78634,0,17994,13768,0,0,43,30.00,16.50,18.00,86.6,boot
216,3.626,14.928,67.0,18034,78637,0,17995,13770,0,0,43,30.00,16.50,18.00,87.0,boot
217,3.641,16.917,59.1,18029,78610,0,17990,13766,0,0,43,30.00,16.50,18.00,87.4,boot
218,3.658,19.556,51.1,18029,78599,0,17990,13767,0,0,43,30.00,16.50,18.00,87.8,boot
219,3.677,14.407,69.4,18036,78637,0,17997,13774,0,0,43,30.00,16.50,18.00,88.2,boot
220,3.691,17.190,58.2,18041,78662,0,18002,13779,0,0,43,30.00,16.50,18.00,88.6,boot
221,3.709,16.726,59.8,18044,78678,0,18005,13783,0,0,43,30.00,16.50,18.00,89.0,boot
222,3.725,16.360,61.1,18030,78608,0,17991,13769,0,0,43,30.00,16.50,18.00,89.4,boot
223,3.742,16.096,62.1,18012,78519,0,17973,13752,0,0,43,30.00,16.50,18.00,89.8,boot
224,3.758,17.016,58.8,18009,78504,0,17970,13749,0,0,43,30.00,16.50,18.00,90.2,boot
