frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
158,1.528,8.708,114.8,16811,72446,0,16772,12545,0,0,43,30.00,16.50,18.00,36.7,boot
159,1.536,8.404,119.0,16802,72400,0,16763,12535,0,0,43,30.00,16.50,18.00,36.9,boot
160,1.545,8.545,117.0,16813,72448,0,16774,12545,0,0,43,30.00,16.50,18.00,37.1,boot
161,1.553,8.486,117.8,16817,72468,0,16778,12549,0,0,43,30.00,16.50,18.00,37.3,boot
162,1.562,8.615,116.1,16829,72522,0,16790,12561,0,0,43,30.00,16.50,18.00,37.5,boot
163,1.571,8.553,116.9,16838,72567,0,16799,12570,0,0,43,30.00,16.50,18.00,37.7,boot
164,1.579,8.606,116.2,16842,72582,0,16803,12572,0,0,43,30.00,16.50,18.00,37.9,boot
165,1.588,8.490,117.8,16849,72613,0,16810,12578,0,0,43,30.00,16.50,18.00,38.1,boot
166,1.596,8.770,114.0,16854,72632,0,16815,12583,0,0,43,30.00,16.50,18.00,38.3,boot
167,1.605,8.613,116.1,16861,72658,0,16822,12590,0,0,43,30.00,16.50,18.00,38.5,boot
168,1.614,9.774,102.3,16858,72663,0,16819,12592,0,0,43,30.00,16.50,18.00,38.7,boot
169,1.623,8.684,115.2,16876,72753,0,16837,12610,0,0,43,30.00,16.50,18.00,39.0,boot
170,1.632,8.557,116.9,16876,72752,0,16837,12609,0,0,43,30.00,16.50,18.00,39.2,boot
171,1.641,10.252,97.5,16888,72790,0,16849,12614,0,0,43,30.00,16.50,18.00,39.4,boot
172,1.651,8.636,115.8,16894,72820,0,16855,12620,0,0,43,30.00,16.50,18.00,39.6,boot
173,1.660,9.209,108.6,16907,72879,0,16868,12633,0,0,43,30.00,16.50,18.00,39.8,boot
174,1.669,8.642,115.7,16911,72892,0,16872,12636,0,0,43,30.00,16.50,18.00,40.0,boot
175,1.677,8.689,115.1,16916,72920,0,16877,12641,0,0,43,30.00,16.50,18.00,40.3,boot
176,1.686,8.824,113.3,16920,72937,0,16881,12645,0,0,43,30.00,16.50,18.00,40.5,boot
177,1.695,9.793,102.1,16929,72985,0,16890,12654,0,0,43,30.00,16.50,18.00,40.7,boot
178,1.705,9.229,108.4,16933,73002,0,16894,12658,0,0,43,30.00,16.50,18.00,40.9,boot
179,1.714,9.631,103.8,16946,73063,0,16907,12670,0,0,43,30.00,16.50,18.00,41.1,boot
180,1.724,9.054,110.4,16949,73074,0,16910,12672,0,0,43,30.00,16.50,18.00,41.4,boot
181,1.733,9.071,110.2,16959,73124,0,16920,12682,0,0,43,30.00,16.50,18.00,41.6,boot
182,1.742,8.959,111.6,16966,73156,0,16927,12689,0,0,43,30.00,16.50,18.00,41.8,boot
183,1.751,10.023,99.8,16975,73204,0,16936,12698,0,0,43,30.00,16.50,18.00,42.0,boot
184,1.761,8.434,118.6,16975,73204,0,16936,12698,0,0,43,30.00,16.50,18.00,42.3,boot
185,1.769,8.515,117.4,16981,73231,0,16942,12704,0,0,43,30.00,16.50,18.00,42.5,boot
186,1.778,8.696,115.0,16986,73255,0,16947,12708,0,0,43,30.00,16.50,18.00,42.7,boot
187,1.786,8.805,113.6,16995,73303,0,16956,12717,0,0,43,30.00,16.50,18.00,42.9,boot
188,1.795,9.597,104.2,16992,73288,0,16953,12714,0,0,43,30.00,16.50,18.00,43.1,boot
189,1.805,7.810,128.0,17006,73357,0,16967,12727,0,0,43,30.00,16.50,18.00,43.3,boot
190,1.813,8.051,124.2,17010,73380,0,16971,12731,0,0,43,30.00,16.50,18.00,43.5,boot
191,1.821,7.819,127.9,17018,73417,0,16979,12739,0,0,43,30.00,16.50,18.00,43.7,boot
192,1.829,8.649,115.6,17031,73488,0,16992,12752,0,0,43,30.00,16.50,18.00,43.9,boot
193,1.837,11.889,84.1,17029,73478,0,16990,12750,0,0,43,30.00,16.50,18.00,44.1,boot
194,1.849,10.400,96.2,17035,73528,0,16996,12761,0,0,43,30.00,16.50,18.00,44.4,boot
195,1.859,8.106,123.4,17037,73541,0,16998,12763,0,0,43,30.00,16.50,18.00,44.6,boot
196,1.868,8.260,121.1,17046,73589,0,17007,12772,0,0,43,30.00,16.50,18.00,44.8,boot
197,1.876,8.426,118.7,17051,73617,0,17012,12777,0,0,43,30.00,16.50,18.00,45.0,boot
198,1.884,8.572,116.7,17060,73662,0,17021,12786,0,0,43,30.00,16.50,18.00,45.2,boot
199,1.893,8.731,114.5,17066,73694,0,17027,12791,0,0,43,30.00,16.50,18.00,45.4,boot
200,1.902,8.598,116.3,17068,73707,0,17029,12793,0,0,43,30.00,16.50,18.00,45.6,boot
201,1.910,8.495,117.7,17078,73757,0,17039,12803,0,0,43,30.00,16.50,18.00,45.8,boot
202,1.919,8.605,116.2,17088,73806,0,17049,12812,0,0,43,30.00,16.50,18.00,46.1,boot
203,1.927,9.845,101.6,17093,73834,0,17054,12817,0,0,43,30.00,16.50,18.00,46.3,boot
204,1.937,9.041,110.6,17105,73876,0,17066,12823,0,0,43,30.00,16.50,18.00,46.5,boot
205,1.946,9.158,109.2,17110,73904,0,17071,12828,0,0,43,30.00,16.50,18.00,46.7,boot
206,1.955,8.508,117.5,17118,73947,0,17079,12836,0,0,43,30.00,16.50,18.00,46.9,boot
207,1.964,8.650,115.6,17121,73962,0,17082,12839,0,0,43,30.00,16.50,18.00,47.1,boot
208,1.973,8.654,115.6,17127,73992,0,17088,12845,0,0,43,30.00,16.50,18.00,47.3,boot
209,1.981,9.276,107.8,17135,74035,0,17096,12853,0,0,43,30.00,16.50,18.00,47.6,boot
210,1.991,8.549,117.0,17143,74077,0,17104,12860,0,0,43,30.00,16.50,18.00,47.8,boot
211,1.999,8.773,114.0,17155,74136,0,17116,12871,0,0,43,30.00,16.50,18.00,48.0,boot
212,2.008,8.587,116.5,17152,74121,0,17113,12868,0,0,43,30.00,16.50,18.00,48.2,boot
213,2.016,9.666,103.5,17160,74163,0,17121,12875,0,0,43,30.00,16.50,18.00,48.4,boot
214,2.026,9.997,100.0,17164,74186,0,17125,12879,0,0,43,30.00,16.50,18.00,48.6,boot
215,2.036,11.994,83.4,17177,74251,0,17138,12892,0,0,43,30.00,16.50,18.00,48.9,boot
216,2.048,8.206,121.9,17193,74331,0,17154,12908,0,0,43,30.00,16.50,18.00,49.2,boot
217,2.056,9.717,102.9,17188,74309,0,17149,12903,0,0,43,30.00,16.50,18.00,49.4,boot
218,2.066,8.704,114.9,17196,74349,0,17157,12911,0,0,43,30.00,16.50,18.00,49.6,boot
219,2.075,8.590,116.4,17209,74414,0,17170,12924,0,0,43,30.00,16.50,18.00,49.8,boot
220,2.083,8.606,116.2,17210,74419,0,17171,12925,0,0,43,30.00,16.50,18.00,50.0,boot
221,2.092,8.525,117.3,17216,74452,0,17177,12931,0,0,43,30.00,16.50,18.00,50.2,boot
222,2.101,8.481,117.9,17226,74505,0,17187,12941,0,0,43,30.00,16.50,18.00,50.4,boot
